date,issue_hour,observations,original_mae_kw,latest_mae_kw,original_rmse_kw,latest_rmse_kw
2025-02-01,0,144,132.29455277777777,132.29455277777777,247.06078642818784,247.06078642818784
2025-02-01,6,108,176.3899712962963,170.52788425925925,285.2812218457913,262.9065787011521
2025-02-01,12,72,148.25150347222223,52.840554166666706,250.80663916378728,107.65618716332155
2025-02-01,18,36,0.008883333333333333,0.008883333333333333,0.04962776440663029,0.04962776440663029
2025-02-02,0,144,122.40258263888897,122.40258263888897,212.05947779154573,212.05947779154573
2025-02-02,6,108,163.20081203703717,98.08046666666667,244.86519185079626,151.07800080968647
2025-02-02,12,72,128.94001388888898,84.06263680555546,225.75883186377138,144.62312819103136
2025-02-02,18,36,0.007677777777777779,0.007677777777777779,0.04289364754832585,0.04289364754832585
2025-02-03,0,144,156.89728171296298,156.89728171296298,295.12019499559864,295.12019499559864
2025-02-03,6,108,209.19451358024693,105.76726358024695,340.77544756740406,171.17847626167148
2025-02-03,12,72,164.61237245370364,57.37931180555557,307.5066260470467,110.12602861950373
2025-02-03,18,36,0.005691666666666667,0.005691666666666667,0.03194836545984091,0.03194836545984091
2025-02-04,0,144,168.17981898148153,168.17981898148153,320.9824073837396,320.9824073837396
2025-02-04,6,108,224.23893827160498,118.33810555555554,370.6385585304083,184.33030190436213
2025-02-04,12,72,256.1454520833334,84.21082152777778,428.75260191219763,167.93137016663113
2025-02-04,18,36,0.0024805555555555557,0.0024805555555555557,0.013919301147846628,0.013919301147846628
2025-02-05,0,144,106.44383796296299,106.44383796296299,204.91484923033332,204.91484923033332
2025-02-05,6,108,141.92466728395064,106.47689938271603,236.61528668780463,183.2237482383554
2025-02-05,12,72,103.05994374999997,61.555271527777776,181.74961214724775,112.48874459489636
2025-02-05,18,36,0.0013916666666666667,0.0013916666666666667,0.007803934193013732,0.007803934193013732
2025-02-06,0,144,254.53718541666663,254.53718541666663,475.38414547294656,475.38414547294656
2025-02-06,6,108,339.38278611111105,160.1961887345679,548.9263287129656,249.13878097843863
2025-02-06,12,72,389.47536944444437,61.26738472222226,628.6253783462541,110.93995225824797
2025-02-06,18,36,0.0002722222222222222,0.0002722222222222222,0.0016333333333333332,0.0016333333333333332
2025-02-07,0,144,206.19862291666675,206.19862291666675,396.3562916543483,396.3562916543483
2025-02-07,6,108,274.93112685185196,245.21006388888887,457.6728233491321,374.6245336570502
2025-02-07,12,72,334.9999131944445,64.99015972222216,534.8927326816332,114.80700367897079
2025-02-07,18,36,0.0014583333333333334,0.0014583333333333334,0.00818747349444395,0.00818747349444395
2025-02-08,0,144,152.9851236111112,152.9851236111112,259.8961700353276,259.8961700353276
2025-02-08,6,108,203.97937870370382,89.83682669753088,300.10224736523,152.6244298087293
2025-02-08,12,72,181.08417291666677,58.22509583333332,287.20150612464613,105.5608122471749
2025-02-08,18,36,0.0022833333333333334,0.0022833333333333334,0.012816157337083878,0.012816157337083878
2025-02-09,0,144,151.13610810185185,151.13610810185185,287.5305987004442,287.5305987004442
2025-02-09,6,108,201.51358487654323,194.42622824074078,332.0117369061269,302.64703550652246
2025-02-09,12,72,76.73162037037036,97.10645763888888,144.38562154466112,178.04861533313476
2025-02-09,18,36,0.003361111111111111,0.003361111111111111,0.018865032320259736,0.018865032320259736
2025-02-10,0,144,155.19574560185185,155.19574560185185,283.7738787754774,283.7738787754774
2025-02-10,6,108,206.92618024691353,201.45690586419755,327.67385028387906,318.1055818741605
2025-02-10,12,72,123.78621504629629,74.23036643518513,229.68346714765462,138.17816491872526
2025-02-10,18,36,0.004572222222222222,0.004572222222222222,0.025665562746823047,0.025665562746823047
2025-02-11,0,144,214.01124629629626,214.01124629629626,414.7873019674888,414.7873019674888
2025-02-11,6,108,285.3463839506173,132.43677654320985,478.95512052527863,209.00631984676758
2025-02-11,12,72,337.99152523148143,52.81900324074066,567.6791597312189,90.78298559426096
2025-02-11,18,36,0.005358333333333333,0.005358333333333333,0.030076942996255452,0.030076942996255452
2025-02-12,0,144,144.85099236111105,144.85099236111105,245.3275045025644,245.3275045025644
2025-02-12,6,108,193.1323953703703,110.63620910493826,283.27980068407186,175.9613025645805
2025-02-12,12,72,113.13954513888888,71.96758425925918,186.7576830399945,130.78333304885604
2025-02-12,18,36,0.006475,0.006475,0.036176154669432,0.036176154669432
2025-02-13,0,144,139.8357055555556,139.8357055555556,250.40087903894056,250.40087903894056
2025-02-13,6,108,186.44495555555557,113.06057962962967,289.13802869894835,194.94068191472164
2025-02-13,12,72,93.46502638888893,100.70506666666671,160.6289027289417,182.69368405379444
2025-02-13,18,36,0.009083333333333332,0.009083333333333332,0.0507309789204015,0.0507309789204015
2025-02-14,0,144,191.3406236111111,191.3406236111111,310.4066492177306,310.4066492177306
2025-02-14,6,108,255.11802037037037,92.45733533950614,358.4267239364677,166.0978523903767
2025-02-14,12,72,173.25994722222222,61.213278472222214,274.21928537496296,97.82064966204432
2025-02-14,18,36,0.008722222222222221,0.008722222222222221,0.0487253128374884,0.0487253128374884
2025-02-15,0,144,190.465286574074,190.465286574074,327.82783960728494,327.82783960728494
2025-02-15,6,108,253.9504283950617,141.05073240740748,378.5429815546996,213.39776584127165
2025-02-15,12,72,233.37056319444434,65.65931689814809,391.8740692712301,128.939921549876
2025-02-15,18,36,0.0097,0.0097,0.05417344060207609,0.05417344060207609
2025-02-16,0,144,188.10877662037035,188.10877662037035,353.55957921693505,353.55957921693505
2025-02-16,6,108,250.8081336419753,144.62345092592588,408.25543501083774,232.65337253426833
2025-02-16,12,72,292.35259236111114,87.65555902777773,479.3000025476234,142.48581833085973
2025-02-16,18,36,0.010994444444444444,0.010994444444444444,0.06140865393230646,0.06140865393230646
2025-02-17,0,144,358.93137708333336,358.93137708333336,688.2150987241247,688.2150987241247
2025-02-17,6,108,478.5709231481482,116.764912808642,794.68234395575,202.4370274940859
2025-02-17,12,72,315.36989375,71.02984583333338,649.4948981673078,126.5382493640275
2025-02-17,18,36,0.012747222222222222,0.012747222222222222,0.07120050132470199,0.07120050132470199
2025-02-18,0,144,166.43803888888885,166.43803888888885,294.1741628213307,294.1741628213307
2025-02-18,6,108,221.9125805555555,185.89029675925917,339.683061006877,285.03048059280536
2025-02-18,12,72,183.37799652777767,81.38035555555561,309.3565465972237,149.6180805758985
2025-02-18,18,36,0.014741666666666669,0.014741666666666669,0.08234602634951826,0.08234602634951826
2025-02-19,0,144,93.3822115740741,93.3822115740741,169.3862498883733,169.3862498883733
2025-02-19,6,108,124.50504598765437,137.16530493827167,195.5903889449335,220.38756401133284
2025-02-19,12,72,107.6263337962963,88.28754652777772,192.84575101739503,177.88504995533236
2025-02-19,18,36,0.015616666666666668,0.015616666666666668,0.0872253690161297,0.0872253690161297
2025-02-20,0,144,162.96329583333332,162.96329583333332,309.83165264890937,309.83165264890937
2025-02-20,6,108,217.28057407407402,178.5084015432098,357.76277421157033,298.7226070199813
2025-02-20,12,72,136.79005902777774,67.25563263888881,247.29008660521515,117.24734138739964
2025-02-20,18,36,0.010700000000000001,0.010700000000000001,0.05977109576449883,0.05977109576449883
2025-02-21,0,144,201.71454166666666,201.71454166666666,359.41414707134714,359.41414707134714
2025-02-21,6,108,268.94980925925927,203.90492361111117,415.0157081676614,301.1477197360266
2025-02-21,12,72,148.0431604166666,54.3836479166666,236.22228777849682,108.4273165361294
2025-02-21,18,36,0.007027777777777778,0.007027777777777778,0.03925170201546821,0.03925170201546821
2025-02-22,0,144,109.00907870370376,109.00907870370376,215.74253249985654,215.74253249985654
2025-02-22,6,108,145.34383827160502,136.43813317901234,249.1180179434713,229.83857145322537
2025-02-22,12,72,132.19324513888898,61.56421759259263,253.04990875107578,113.44662712051856
2025-02-22,18,36,0.004102777777777778,0.004102777777777778,0.023025861064850054,0.023025861064850054
2025-02-23,0,144,153.55709513888894,153.55709513888894,284.8723330778778,284.8723330778778
2025-02-23,6,108,204.74217129629633,208.2837612654321,328.9422363187638,343.46310736945327
2025-02-23,12,72,222.17396041666666,112.45981203703703,371.1561168866124,223.1483613235229
2025-02-23,18,36,0.00036944444444444443,0.00036944444444444443,0.0022166666666666667,0.0022166666666666667
2025-02-24,0,144,213.03602731481482,213.03602731481482,343.3695834210114,343.3695834210114
2025-02-24,6,108,284.044700308642,219.4577983024692,396.4890415252668,356.6349367737306
2025-02-24,12,72,216.59216504629634,67.76627754629641,358.48849326042057,124.29743649329392
2025-02-24,18,36,0.013422222222222223,0.013422222222222223,0.07497662969219142,0.07497662969219142
