policy,issue_hour,decisions,revisions,mean_nv_yuan,candidate_vs_g0_increase_kwh,candidate_vs_g0_decrease_kwh,adopted_change_increase_kwh,adopted_change_decrease_kwh
C2,6,334,330,2173.8100105166786,597468.7925040146,457192.47676405334,597468.7925040146,457110.959673026
C2,12,334,334,1487.5914480661058,447009.22689270426,213018.869974783,505040.13009875966,221601.27827798782
C2,18,334,329,584.371454085553,165129.35345884555,28079.652057593757,173231.1580331526,58941.607047102974
C3,6,334,233,2173.8115853850104,597468.7925040146,457195.0345370791,559645.0881865444,418651.1105569241
C3,12,334,198,1457.8261484951659,442892.9807135841,211601.39254767343,425341.695698217,149142.44731916644
C3,18,334,148,570.9621094872939,166576.7596829547,28982.78669821221,125026.1577213388,26591.662360019072
