issue_hour,observations,original_mae_kw_all,latest_mae_kw_all,original_rmse_kw_all,latest_rmse_kw_all,original_daily_rmse_mean_kw,latest_daily_rmse_mean_kw
0,48096,197.49097249805948,197.49097249805948,383.0269248527167,383.0269248527167,351.9148049957339,351.9148049957339
6,36072,259.80202759019,185.77199928060546,441.56212433720134,322.92952799627267,405.5346114179857,306.827093465815
12,24048,218.44765422280443,85.62543535706364,418.3461839173032,170.34381349327998,371.48046652945806,160.66995875326523
18,12024,10.623287947715681,19.425359061044578,46.242041132539654,105.94933747230066,30.301816243062635,65.4006141714333
