branch,policy,planning_expected_scenario_emergency_cost_yuan,actual_causal_emergency_cost_yuan,fixed_g_perfect_information_emergency_cost_yuan,actual_minus_planning_expectation_yuan,actual_minus_perfect_information_yuan,actual_to_planning_ratio
Q2,B1,,3221064.989147282,2303386.431727059,,917678.557420223,
Q2,B3,727247.6026632169,2827106.6426389692,831868.7275325853,2099859.039975752,1995237.915106384,3.887405929268057
Q2,B4,477323.9586785446,2764740.7049153694,639915.107056303,2287416.746236825,2124825.5978590664,5.792168305503586
Q4-2,B1,,3412386.927287413,2499802.752280598,,912584.1750068148,
Q4-2,B3,746397.7099003786,2947274.475177704,910212.6801299306,2200876.765277325,2037061.7950477733,3.948664949107461
Q4-2,B4,484318.6162537928,2891240.36190935,702131.6166492136,2406921.745655557,2189108.745260136,5.969707264761182
