period,issue_hour,forecast_type,region,observations,mae_kw,rmse_kw
january_calibration_2025-01-22_2025-01-31,12,legacy_10min_bfill,after_first_50_minutes,670,49.91757355721393,98.60730419716812
january_calibration_2025-01-22_2025-01-31,12,legacy_10min_bfill,all_available_targets,720,65.73170622685186,132.00454414690518
january_calibration_2025-01-22_2025-01-31,12,legacy_10min_bfill,first_50_minutes,50,277.64108400000003,347.31730365241526
january_calibration_2025-01-22_2025-01-31,12,observed_anchor_10min,after_first_50_minutes,670,49.91757355721393,98.60730419716812
january_calibration_2025-01-22_2025-01-31,12,observed_anchor_10min,all_available_targets,720,56.43250131944445,105.69480555340928
january_calibration_2025-01-22_2025-01-31,12,observed_anchor_10min,first_50_minutes,50,143.7325333333334,174.85559113786158
january_calibration_2025-01-22_2025-01-31,12,supplier_raw_hourly,all_available_targets,120,25.909975833333355,58.67132051358583
january_calibration_2025-01-22_2025-01-31,12,supplier_raw_hourly,original_hourly_targets,120,25.909975833333355,58.67132051358583
january_calibration_2025-01-22_2025-01-31,18,legacy_10min_bfill,after_first_50_minutes,310,3.2903225806451614e-05,0.00022360679774997898
january_calibration_2025-01-22_2025-01-31,18,legacy_10min_bfill,all_available_targets,360,0.007421388888888889,0.043321344174795766
january_calibration_2025-01-22_2025-01-31,18,legacy_10min_bfill,first_50_minutes,50,0.053230000000000006,0.1162420311247184
january_calibration_2025-01-22_2025-01-31,18,observed_anchor_10min,after_first_50_minutes,310,3.2903225806451614e-05,0.00022360679774997898
january_calibration_2025-01-22_2025-01-31,18,observed_anchor_10min,all_available_targets,360,0.007421388888888889,0.043321344174795766
january_calibration_2025-01-22_2025-01-31,18,observed_anchor_10min,first_50_minutes,50,0.053230000000000006,0.1162420311247184
january_calibration_2025-01-22_2025-01-31,18,supplier_raw_hourly,all_available_targets,60,0.0,0.0
january_calibration_2025-01-22_2025-01-31,18,supplier_raw_hourly,original_hourly_targets,60,0.0,0.0
