branch,policy,plan_cost_yuan,non_emergency_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,emergency_days,daily_cost_std_yuan,daily_emergency_cvar95_yuan,daily_total_cvar95_yuan,remaining_energy_kwh,charge_kwh,discharge_kwh,revision_count,min_soc_kwh,max_soc_kwh,year_end_soc_kwh
Q4-3,C0,14054533.13866634,14054533.13866634,2938383.1807505335,16992916.319416873,778537.4276969754,332,22207.926893779884,39556.86554147771,95409.43607872278,3377539.047217519,6172539.460960865,5002196.951699324,0,1199.9999999999995,10800.0,1200.0
Q4-3,C1,14054358.51726125,14054358.51726125,2815886.6994883753,16870245.216749623,765081.2659005995,333,22345.225684183875,38773.636779247885,95488.40349848743,3359858.772936457,6193540.026713505,5019207.409958962,0,1199.9999999999995,10800.0,1200.0
Q4-3,C2,14045010.359353129,15026008.142832883,1541340.3870524717,16567348.529885355,420287.0910725943,333,21702.37126970415,29584.859348195052,90993.13873375683,3592501.5379493125,6029681.744365918,4886482.201257418,989,1199.9999999999995,10800.0,1200.0
Q4-3,C3,14045008.891630659,14987931.698700745,1592049.9244606025,16579981.623161346,432562.1777831123,332,21668.216313855217,29716.269258131775,91099.28249647641,3587845.1940046945,6040513.58778625,4895255.994427886,631,1199.9999999999995,10800.0,1200.0
