branch,policy,plan_cost_yuan,non_emergency_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,emergency_days,daily_cost_std_yuan,daily_emergency_cvar95_yuan,daily_total_cvar95_yuan,remaining_energy_kwh,charge_kwh,discharge_kwh,revision_count,min_soc_kwh,max_soc_kwh,year_end_soc_kwh
Q4-2,B1,12695991.753059074,12695991.753059074,3412386.927287413,16108378.680346487,961438.0849485196,334,21667.904607015294,46892.2514555434,95308.1230028768,1783325.664841198,6819193.62432865,5525986.824027229,0,1199.9999999999982,10800.000000000007,1200.0
Q4-2,B3,13605046.8496347,13605046.8496347,2947274.475177704,16552321.324812405,785741.9663783112,334,22151.14223739753,44113.49796477049,96853.39432063802,2733838.5009635496,6281562.992347641,5090506.012122612,0,1199.9999999999995,10800.0,1200.0
Q4-2,B4,13907818.70853968,13907818.70853968,2891240.36190935,16799059.07044903,756225.0191453255,334,22291.5537001474,42532.45975550936,96791.43888795032,3124139.798951172,6163655.328022591,4995000.804019321,0,1199.9999999999995,10800.0,1200.0
Q4-3,C0,14054533.13866634,14054533.13866634,2938383.180750533,16992916.319416873,778537.4276969754,332,22207.926893779884,39556.86554147771,95409.43607872278,3377539.047217519,6172539.460960865,5002196.951699324,0,1199.9999999999995,10800.0,1200.0
Q4-3,C1,14054358.51726125,14054358.51726125,2815886.699488376,16870245.216749623,765081.2659005995,333,22345.225684183875,38773.636779247885,95488.40349848745,3359858.772936457,6193540.026713505,5019207.409958962,0,1199.9999999999995,10800.0,1200.0
Q4-3,C2,14045010.359353129,15026008.142832885,1541340.3870524715,16567348.529885355,420287.0910725943,333,21702.37126970415,29584.85934819505,90993.13873375684,3592501.5379493125,6029681.744365918,4886482.201257418,989,1199.9999999999995,10800.0,1200.0
Q4-3,C3,14045008.89163066,14987931.698700745,1592049.9244606025,16579981.623161346,432562.1777831123,332,21668.216313855217,29716.26925813177,91099.2824964764,3587845.1940046945,6040513.58778625,4895255.994427886,631,1199.9999999999995,10800.0,1200.0
