date,slot,load_pred_kw,pv_pred_kw,load_pred_kwh,pv_pred_kwh
2025-01-08,1,3419.7024285714283,0.0,569.9504047619047,0.0
2025-01-08,2,3437.7086000000004,0.0,572.9514333333334,0.0
2025-01-08,3,3418.594285714286,0.0,569.7657142857144,0.0
2025-01-08,4,3398.3783000000003,0.0,566.3963833333333,0.0
2025-01-08,5,3398.3766285714287,0.0,566.3961047619048,0.0
2025-01-08,6,3458.202857142857,0.0,576.3671428571428,0.0
2025-01-08,7,3594.1977285714283,0.0,599.0329547619048,0.0
2025-01-08,8,3644.5928428571424,0.0,607.4321404761904,0.0
2025-01-08,9,3570.7957142857144,0.0,595.1326190476191,0.0
2025-01-08,10,3500.760657142858,0.0,583.4601095238096,0.0
2025-01-08,11,3549.6023142857143,0.0,591.6003857142857,0.0
2025-01-08,12,3663.6357142857137,0.0,610.6059523809523,0.0
2025-01-08,13,3687.290742857142,0.0,614.548457142857,0.0
2025-01-08,14,3707.610057142857,0.0,617.9350095238095,0.0
2025-01-08,15,3764.3685714285716,0.0,627.3947619047619,0.0
2025-01-08,16,3795.950928571429,0.0,632.6584880952381,0.0
2025-01-08,17,3776.7185714285724,0.0,629.4530952380954,0.0
2025-01-08,18,3751.6685714285713,0.0,625.2780952380953,0.0
2025-01-08,19,3794.7544285714284,0.0,632.4590714285714,0.0
2025-01-08,20,3854.891285714286,0.0,642.481880952381,0.0
2025-01-08,21,3869.067142857142,0.0,644.8445238095236,0.0
2025-01-08,22,3827.1588142857145,0.0,637.8598023809524,0.0
2025-01-08,23,3844.2473571428573,0.0,640.7078928571428,0.0
2025-01-08,24,3921.697142857143,0.0,653.6161904761905,0.0
2025-01-08,25,3943.129228571429,0.0,657.1882047619048,0.0
2025-01-08,26,3902.207128571429,0.0,650.3678547619048,0.0
2025-01-08,27,3863.157142857143,0.0,643.8595238095238,0.0
2025-01-08,28,3901.724771428571,0.0,650.2874619047618,0.0
2025-01-08,29,3974.1117999999997,0.0,662.3519666666666,0.0
2025-01-08,30,4011.238571428571,0.0,668.5397619047618,0.0
2025-01-08,31,3980.261542857143,0.0018857142857142857,663.3769238095239,0.00031428571428571427
2025-01-08,32,3967.7250714285715,0.0,661.2875119047619,0.0
2025-01-08,33,3969.004285714286,0.0,661.5007142857144,0.0
2025-01-08,34,3960.6968428571427,0.02661428571428572,660.1161404761905,0.004435714285714287
2025-01-08,35,4300.386628571429,0.0,716.7311047619049,0.0
2025-01-08,36,4811.004285714285,0.0,801.8340476190475,0.0
2025-01-08,37,4905.7993,0.3709142857142857,817.6332166666666,0.061819047619047614
2025-01-08,38,4869.900171428571,0.0,811.6500285714286,0.0
2025-01-08,39,4887.714285714285,0.0,814.6190476190476,0.0
2025-01-08,40,4863.278014285715,5.166142857142857,810.5463357142858,0.8610238095238095
2025-01-08,41,4876.914028571428,0.0,812.8190047619047,0.0
2025-01-08,42,4948.774285714286,14.860714285714286,824.7957142857143,2.476785714285714
2025-01-08,43,5009.2781428571425,203.54391428571427,834.8796904761904,33.92398571428571
2025-01-08,44,5055.6985428571425,458.10380000000004,842.6164238095238,76.35063333333333
2025-01-08,45,4978.122857142857,715.9714285714286,829.6871428571429,119.32857142857144
2025-01-08,46,4779.1477,993.0240285714286,796.5246166666667,165.50400476190478
2025-01-08,47,5347.849742857143,1272.4894428571429,891.3082904761905,212.0815738095238
2025-01-08,48,6342.734285714286,1557.080357142857,1057.122380952381,259.51339285714283
2025-01-08,49,6450.646914285715,1862.7277142857145,1075.1078190476192,310.4546190476191
2025-01-08,50,6259.3477,2146.4571,1043.2246166666666,357.74285000000003
2025-01-08,51,6240.172857142857,2410.125,1040.0288095238095,401.6875
2025-01-08,52,6281.869414285714,2700.631114285715,1046.9782357142856,450.1051857142858
2025-01-08,53,6370.132214285715,3005.0256571428577,1061.6887023809525,500.8376095238096
2025-01-08,54,6448.811428571428,3282.5142857142855,1074.8019047619048,547.0857142857143
2025-01-08,55,6431.365985714286,3497.4453,1071.8943309523809,582.90755
2025-01-08,56,6397.272042857143,3683.881014285714,1066.2120071428571,613.980169047619
2025-01-08,57,6389.728571428573,3899.078571428571,1064.954761904762,649.8464285714285
2025-01-08,58,6376.677042857143,4176.1978,1062.779507142857,696.0329666666667
2025-01-08,59,6341.120271428571,4432.364457142857,1056.8533785714285,738.7274095238095
2025-01-08,60,6310.908571428571,4621.205357142857,1051.818095238095,770.2008928571428
2025-01-08,61,6329.978371428571,4776.086885714286,1054.9963952380951,796.014480952381
2025-01-08,62,6347.788814285714,4980.166314285714,1057.9648023809523,830.027719047619
2025-01-08,63,6336.434285714285,5171.791071428571,1056.0723809523809,861.9651785714285
2025-01-08,64,6313.233614285715,5209.926042857143,1052.2056023809525,868.3210071428572
2025-01-08,65,6289.080414285715,5253.441857142857,1048.180069047619,875.5736428571428
2025-01-08,66,6260.5314285714285,5339.689285714286,1043.4219047619047,889.9482142857142
2025-01-08,67,6227.080385714287,5362.789742857143,1037.8467309523812,893.7982904761906
2025-01-08,68,6245.088157142857,5431.179014285714,1040.8480261904763,905.1965023809524
2025-01-08,69,6299.952857142857,5580.867857142858,1049.9921428571429,930.144642857143
2025-01-08,70,6297.255614285714,5725.966442857142,1049.5426023809523,954.3277404761903
2025-01-08,71,6169.740314285715,5807.001271428571,1028.2900523809524,967.8335452380952
2025-01-08,72,5975.618571428572,5801.871428571429,995.9364285714287,966.9785714285714
2025-01-08,73,5857.828614285715,5739.274228571429,976.3047690476192,956.5457047619049
2025-01-08,74,5826.297771428572,5727.444357142857,971.0496285714286,954.5740595238095
2025-01-08,75,5834.584285714285,5752.767857142856,972.4307142857142,958.7946428571427
2025-01-08,76,5839.164642857143,5695.6736,973.1941071428572,949.2789333333334
2025-01-08,77,5891.340957142857,5578.432028571428,981.8901595238095,929.7386714285714
